lat	long
35.097056	106.949008
35.103899	106.943735
35.112213	106.939817
35.109204	106.930715
35.112242	106.921941
35.107370	106.916359
35.099145	106.912927
35.096135	106.903826
35.099439	106.897914
35.101929	106.889567
35.098076	106.881381
35.099064	106.870726
35.098841	106.864189
35.098525	106.854953
35.103930	106.848356
35.106078	106.838768
35.100457	106.832506
35.103470	106.823713
35.108609	106.816872
35.112051	106.808473
35.117189	106.801631
35.127534	106.802744
35.134368	106.797458
35.139663	106.793939
35.140738	106.785983
35.145906	106.779167
35.154023	106.775056
35.157636	106.766815
35.162802	106.759998
35.162160	106.748306
35.156758	106.741806
35.156432	106.732570
35.154709	106.722054
35.150384	106.714380
35.148755	106.706564
35.147443	106.696426
35.149399	106.686669
35.147671	106.676155
35.147244	106.664218
35.147267	106.655306
35.146581	106.645746
35.143648	106.639353
35.144614	106.628694
35.142883	106.618180
35.140901	106.607940
35.138117	106.598576
35.132485	106.592330
35.128831	106.583918
35.120065	106.581103
35.114286	106.575016
35.113849	106.563080
35.109562	106.555362
35.102615	106.557384
35.097006	106.551113
35.091554	106.544669
35.091457	106.538263
35.096583	106.531407
35.101708	106.524550
35.110355	106.524077
35.116238	106.517911
35.121390	106.511077
35.123743	106.501692
35.126096	106.492307
35.126667	106.482067
35.125488	106.473909
35.132309	106.468597
35.137102	106.461436
35.139144	106.451769
35.149367	106.449554
35.156186	106.444238
35.156393	106.435508
35.156044	106.426271
35.161190	106.419431
35.170657	106.419695
35.173003	106.410307
35.175349	106.400919
35.176500	106.390444
35.185636	106.387233
35.195364	106.387731
35.202177	106.382406
35.214102	106.381730
35.222743	106.381239
35.227850	106.374363
35.231251	106.365936
35.237408	106.363185
35.241587	106.355466
35.248396	106.350136
35.255331	106.348092
35.262424	106.346191
35.258076	106.338536
35.262675	106.331198
35.266070	106.322767
35.276288	106.320530
35.281433	106.313687
35.288192	106.308310
35.293109	106.301260
35.296679	106.292987
35.301775	106.286099
35.310048	106.285266
35.318922	106.281806
35.324016	106.274915
35.332523	106.271122
35.334199	106.261132
35.338527	106.253546
